region_id,region_type,region
273585,neigh,Eastside; AZ; Tucson; Pima County
417837,neigh,Community Fiesta; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
416901,neigh,Rancho Perdido Estates; AZ; Tucson; Pima County
111972,neigh,Fountain of the Sun; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417942,neigh,Sunland Village East; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
275303,neigh,Santa Cruz Southwest; AZ; Tucson; Pima County
275628,neigh,Sunset; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417719,neigh,Carino Estates; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
274549,neigh,Miracle Manor; AZ; Tucson; Pima County
410405,neigh,C.A.N.D.O.; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417877,neigh,Fiesta Park Village; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
274061,neigh,Houghton; AZ; Tucson; Pima County
274882,neigh,Old Fort Lowell; AZ; Tucson; Pima County
274137,neigh,Jefferson Park; AZ; Tucson; Pima County
111550,neigh,Buckhorn; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
115326,neigh,Golden Hills; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
276198,neigh,Barrio Hollywood; AZ; Tucson; Pima County
417930,neigh,Sunland Village; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417897,neigh,Reed Park; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
273122,neigh,Campus Farm; AZ; Tucson; Pima County
417850,neigh,Encanto; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
274949,neigh,Palo Verde; AZ; Tucson; Pima County
273102,neigh,Cabrini; AZ; Tucson; Pima County
275174,neigh,Rillito; AZ; Tucson; Pima County
275996,neigh,West University; AZ; Tucson; Pima County
275025,neigh,Pie Allen; AZ; Tucson; Pima County
274551,neigh,Miramonte; AZ; Tucson; Pima County
267437,neigh,Sunnyside; AZ; Flagstaff; Coconino County
417566,neigh,Cooley Station; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
762625,neigh,Glenhurst; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Avondale
112272,neigh,Lehi; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
273616,neigh,El G.H.E.K.O.; AZ; Tucson; Pima County
417563,neigh,Chaparral Estates; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417619,neigh,Esquire Village; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417766,neigh,Twelve Oaks; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
417598,neigh,Superstition Meadows; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417841,neigh,Citrus; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
273268,neigh,Civano; AZ; Tucson; Pima County
